Date,Open,High,Low,Close,Volume
1/2/2002,22.050001,23.299999,21.96,23.299999,132374200
1/3/2002,23.000001,23.75,22.77,23.580001,153001800
1/4/2002,23.34,23.950001,22.99,23.69,102494000
1/7/2002,23.720001,24,22.75,22.9,111146000
1/8/2002,22.75,23.05,22.46,22.61,112509600
1/9/2002,22.799999,22.930001,21.28,21.65,81958800
1/10/2002,21.22,21.460001,20.25,21.23,113184400
1/11/2002,21.390001,21.839999,20.599999,21.049999,87200400
1/14/2002,21.01,21.400001,20.899999,21.15,103999000
1/15/2002,21.320001,21.760001,21.21,21.699999,72580200
1/16/2002,21.409999,21.409999,20.5,20.78,141723400
1/17/2002,21.96,22.74,21.87,22.48,165144000
1/18/2002,22,22.6,21.96,22.17,84702800
1/22/2002,22.270001,22.37,21.82,21.82,81828600
1/23/2002,21.8,23.04,21.59,23.02,110819800
1/24/2002,22.91,23.510001,22.9,23.210001,86000600
1/25/2002,22.89,23.42,22.66,23.25,46478600
1/28/2002,23.4,23.55,22.719999,23.27,46611600
1/29/2002,23.220001,23.54,22.850001,23.070001,60081000
1/30/2002,23.070001,24.14,22.939999,24.090001,117894000
1/31/2002,24.160001,24.73,24.109999,24.72,117111400
2/1/2002,24.34,24.960001,24.34,24.41,99576400
2/4/2002,24.319999,25.52,24.2,25.349999,130593400
2/5/2002,25.09,25.98,25.08,25.45,114221800
2/6/2002,25.6,25.98,24.15,24.670001,149394000
2/7/2002,24.65,25.29,24.08,24.3,86958200
2/8/2002,24.399999,24.64,23.369999,24.029999,88832800
2/11/2002,23.93,25,23.739999,24.979999,99650600
2/12/2002,24.66,25.040001,24.450001,24.71,56070000
2/13/2002,24.73,25.24,24.65,25.01,78218000
2/14/2002,25.049999,25.23,24.380001,24.600001,65042600
2/15/2002,24.530001,24.979999,23.85,23.9,65046800
2/19/2002,23.76,23.870001,22.48,22.62,97564600
2/20/2002,22.77,23.2,22.349999,23.13,71360800
2/21/2002,22.920001,23.000001,21.45,21.5,111687800
2/22/2002,21.66,22.95,21.5,22.74,101619000
2/25/2002,22.850001,24.72,22.359999,23.809999,106712200
2/26/2002,23.91,24.37,23.25,23.669999,65032800
2/27/2002,23.940001,24.249999,20.94,21.96,257539800
2/28/2002,22.15,22.59,21.35,21.699999,114234400
3/1/2002,21.93,23.5,21.82,23.449999,87248000
3/4/2002,23.26,24.58,22.76,24.29,87064600
3/5/2002,24.15,24.43,23.4,23.529999,68675600
3/6/2002,23.48,24.34,22.930001,24.07,56551600
3/7/2002,24.06,24.530001,23.61,24.380001,64562400
3/8/2002,24.74,25.09,24.3,24.66,67443600
3/11/2002,24.600001,25.14,24.099999,25.059999,65696400
3/12/2002,24.51,24.74,24.099999,24.72,63513800
3/13/2002,24.37,24.85,24.15,24.49,50191400
3/14/2002,24.3,24.600001,23.870001,24.43,54324200
3/15/2002,24.460001,24.960001,24.249999,24.95,60225200
3/18/2002,24.95,25.049999,24.319999,24.74,76139000
