date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2016-07-22,56.08,56.6275,55.78,56.57,32157167,0.77,1.38%,56.57,1814063128.46,136321
2016-07-21,55.98,56.23,55.76,55.80,32776653,-0.11,-0.20%,55.80,1833674381.50,156967
2016-07-20,56.15,56.84,55.53,55.91,89893301,2.82,5.31%,55.91,5057386147.28,390658
2016-07-19,53.71,53.90,52.93,53.09,53336533,-0.87,-1.61%,53.09,2842504922.30,237491
2016-07-18,53.70,54.34,53.55,53.96,31433864,0.26,0.48%,53.96,1699085880.74,144474
2016-07-15,53.95,54.00,53.21,53.70,32024385,-0.04,-0.07%,53.70,1716254555.75,143381
2016-07-14,53.84,53.99,53.58,53.74,24545520,0.23,0.43%,53.74,1320046799.21,125924
2016-07-13,53.56,53.86,53.18,53.51,25356841,0.30,0.56%,53.51,1358586957.24,130397
2016-07-12,52.94,53.40,52.785,53.21,27317555,0.62,1.18%,53.21,1452393921.83,151638
2016-07-11,52.50,52.83,52.47,52.59,22269203,0.29,0.55%,52.59,1172637372.48,123430
2016-07-08,51.73,52.36,51.55,52.30,28391026,0.92,1.79%,52.30,1481791328.01,148742
2016-07-07,51.42,51.61,51.07,51.38,19585194,0.00,0.00%,51.38,1005308086.36,114407
2016-07-06,50.78,51.54,50.39,51.38,28167461,0.21,0.41%,51.38,1438227122.23,159769
2016-07-05,50.83,51.28,50.74,51.17,24806351,0.01,0.02%,51.17,1265833933.18,139254
2016-07-01,51.13,51.72,51.07,51.16,21400392,-0.01,-0.02%,51.16,1099531596.58,122948
2016-06-30,50.72,51.30,50.50,51.17,28527781,0.63,1.25%,51.17,1455600841.61,137039
2016-06-29,49.91,50.72,49.80,50.54,31304021,1.10,2.22%,50.54,1576912447.73,166775
2016-06-28,48.92,49.47,48.67,49.44,38140658,1.01,2.09%,49.44,1875246513.76,181845
2016-06-27,49.10,49.1466,48.035,48.43,50576699,-1.40,-2.81%,48.43,2454189457.44,288655
2016-06-24,49.81,50.94,49.52,49.83,133502985,-2.08,-4.01%,49.83,6668042352.10,370628
2016-06-23,51.28,52.06,51.15,51.91,29028833,0.92,1.80%,51.91,1503092188.10,136399
2016-06-22,51.08,51.46,50.9525,50.99,28816848,-0.20,-0.39%,50.99,1473843022.08,146508
2016-06-21,50.20,51.43,50.16,51.19,34097825,1.12,2.24%,51.19,1740071033.09,171945
2016-06-20,50.64,50.83,50.03,50.07,35607946,-0.06,-0.12%,50.07,1796494334.89,171011
2016-06-17,50.41,50.43,49.82,50.13,45710516,-0.26,-0.52%,50.13,2292621214.85,146731
2016-06-16,49.52,50.47,49.5068,50.39,31188605,0.70,1.41%,50.39,1560801768.90,154394
2016-06-15,49.78,50.12,49.69,49.69,33757639,-0.14,-0.28%,49.69,1683185148.41,153738
2016-06-14,49.90,50.10,49.57,49.83,42577106,-0.31,-0.62%,49.83,2120074367.97,217660
2016-06-13,49.58,50.715,49.06,50.14,83217844,-1.34,-2.60%,50.14,4155252193.84,386919
2016-06-10,51.05,52.05,51.04,51.48,25833151,-0.14,-0.27%,51.48,1332492890.11,148356
2016-06-09,52.00,52.00,51.49,51.62,20305664,-0.42,-0.81%,51.62,1050107291.93,110560
2016-06-08,52.02,52.44,51.87,52.04,21149438,-0.06,-0.12%,52.04,1101323610.04,113664
2016-06-07,52.24,52.73,52.10,52.10,20866770,-0.03,-0.06%,52.10,1092818160.63,105884
2016-06-06,51.99,52.35,51.89,52.13,18243271,0.34,0.66%,52.13,951752232.53,102896
2016-06-03,52.38,52.42,51.60,51.79,23368291,-0.69,-1.31%,51.79,1211550592.46,133519
2016-06-02,52.64,52.74,51.835,52.48,22840779,-0.37,-0.70%,52.48,1194540855.97,129306
2016-06-01,52.44,52.95,52.44,52.85,25324828,-0.15,-0.28%,52.85,1336430452.37,137320
2016-05-31,52.26,53.00,52.08,53.00,37653081,0.68,1.30%,53.00,1979158745.99,139709
2016-05-27,51.92,52.32,51.77,52.32,17721438,0.43,0.83%,52.32,924073485.83,94088
2016-05-26,51.93,51.9793,51.36,51.89,24335223,-0.23,-0.44%,51.89,1258878680.16,121185
2016-05-25,51.92,52.49,51.79,52.12,24204566,0.53,1.03%,52.12,1263584433.81,148675
2016-05-24,50.70,51.71,50.40,51.59,34757944,1.56,3.12%,51.59,1780553365.40,185411
2016-05-23,50.60,50.68,49.98,50.03,26118720,-0.59,-1.17%,50.03,1311732135.75,117657
2016-05-20,50.48,51.22,50.40,50.62,23905769,0.30,0.60%,50.62,1214042956.08,113283
2016-05-19,50.47,50.62,49.82,50.32,23842358,-0.49,-0.96%,50.32,1194055234.64,144853
2016-05-18,50.48,51.14,50.30,50.81,24907532,0.30,0.59%,50.81,1263771260.72,129641
2016-05-17,51.72,51.73,50.36,50.51,27803514,-0.96,-1.87%,50.51,1410583117.83,151334
2016-05-16,50.80,51.96,50.75,51.83,20032017,0.745,1.47%,51.47,1033726095.50,102867
2016-05-13,51.44,51.895,51.04,51.08,22592342,-0.427,-0.83%,50.7252,1161840534.80,128880
2016-05-12,51.20,51.81,50.92,51.51,24102781,0.457,0.90%,51.1522,1239083406.23,140564
2016-05-11,51.13,51.78,51.00,51.05,24039140,0.03,0.06%,50.6954,1233068238.64,124125
2016-05-10,50.33,51.10,50.19,51.02,22890966,0.943,1.90%,50.6656,1162103908.32,122691
2016-05-09,50.49,50.585,50.00,50.07,17951598,-0.318,-0.64%,49.7222,901712268.10,101641
2016-05-06,49.92,50.39,49.66,50.39,24787301,0.447,0.90%,50.04,1239701388.89,128561
2016-05-05,49.87,50.30,49.73,49.94,25390718,0.07,0.14%,49.5931,1268684574.62,129010
2016-05-04,49.84,50.06,49.46,49.87,24257556,0.089,0.18%,49.5236,1209490232.30,131054
2016-05-03,50.34,50.41,49.60,49.78,26460244,-0.824,-1.64%,49.4342,1319560778.69,149427
2016-05-02,50.00,50.75,49.7799,50.61,33114539,0.735,1.48%,50.2585,1665091377.37,171188
2016-04-29,49.35,50.25,49.35,49.87,48411684,-0.03,-0.06%,49.5236,2414354584.50,258493
2016-04-28,50.62,50.77,49.56,49.90,43134846,-1.033,-2.04%,49.5534,2162195967.98,220178
2016-04-27,51.48,51.50,50.55,50.94,43369256,-0.497,-0.97%,50.5862,2207124063.05,216547
2016-04-26,52.26,52.35,51.09,51.44,33532636,-0.665,-1.29%,51.0827,1725130219.11,168650
2016-04-25,51.78,52.13,51.63,52.11,33226948,0.328,0.64%,51.748,1725052397.37,174512
2016-04-22,51.91,52.4297,50.77,51.78,126834091,-3.972,-7.17%,51.4203,6558130818.36,567995
2016-04-21,55.80,56.23,55.415,55.78,38909096,0.189,0.34%,55.3926,2171814302.34,207447
2016-04-20,56.29,56.50,55.485,55.59,36195714,-0.794,-1.42%,55.2039,2024769527.98,173924
2016-04-19,56.63,56.77,55.68,56.39,29596827,-0.07,-0.12%,55.9983,1664297980.48,153329
2016-04-18,55.49,56.59,55.21,56.46,23785950,0.804,1.46%,56.0678,1338459596.81,124503
2016-04-15,55.30,55.92,55.11,55.65,28793753,0.288,0.52%,55.2635,1600976577.27,125774
2016-04-14,55.22,55.575,55.07,55.36,20877108,0.01,0.02%,54.9755,1155752982.75,111474
2016-04-13,55.12,55.4375,54.89,55.35,20817961,0.695,1.28%,54.9655,1148469429.98,115699
2016-04-12,54.37,54.78,53.76,54.65,24944288,0.338,0.63%,54.2704,1355620305.05,146793
2016-04-11,54.49,55.15,54.30,54.31,21414227,-0.109,-0.20%,53.9328,1172717870.41,117459
2016-04-08,54.67,55.28,54.32,54.42,22167223,-0.04,-0.07%,54.042,1211818993.49,132042
2016-04-07,54.87,54.91,54.23,54.46,19225092,-0.655,-1.20%,54.0817,1047864139.31,109083
2016-04-06,54.36,55.20,54.21,55.12,21188682,0.556,1.03%,54.7371,1160720216.51,121481
2016-04-05,55.19,55.30,54.46,54.56,19272255,-0.864,-1.57%,54.181,1056019994.26,116522
2016-04-04,55.43,55.66,55.00,55.43,18928810,-0.139,-0.25%,55.045,1047721653.29,101169
2016-04-01,55.05,55.61,54.57,55.57,24399193,0.338,0.62%,55.184,1348156499.11,119572
