Symbol,Date,Open,High,Low,Close,Volume
ORCL,01-Jan-2016,36.53,36.53,36.53,36.53,0
ORCL,04-Jan-2016,36.01,36.01,35.36,35.75,18784300
ORCL,05-Jan-2016,35.86,36.12,35.49,35.64,25340600
ORCL,06-Jan-2016,35.5,36.13,35.36,35.82,18165700
ORCL,07-Jan-2016,35.25,35.68,34.88,35.04,22591400
ORCL,08-Jan-2016,35.13,35.28,34.61,34.65,21962200
ORCL,11-Jan-2016,34.75,35.12,34.52,34.94,18726500
ORCL,12-Jan-2016,35.32,35.55,34.98,35.37,18457300
ORCL,13-Jan-2016,35.19,35.4,33.87,34.08,28322800
ORCL,14-Jan-2016,34.19,35.09,34.01,34.79,19523500
ORCL,15-Jan-2016,33.8,34.51,33.66,34.12,25425000
ORCL,18-Jan-2016,34.12,34.12,34.12,34.12,0
ORCL,19-Jan-2016,34.54,34.75,34.24,34.55,21423100
ORCL,20-Jan-2016,33.88,34.23,33.13,33.94,25278700
ORCL,21-Jan-2016,33.91,34.56,33.59,34.12,20380200
ORCL,22-Jan-2016,34.55,34.99,34.53,34.8,15892600
ORCL,25-Jan-2016,34.58,34.94,34.3,34.34,16793600
ORCL,26-Jan-2016,34.32,35.23,34.12,35.23,19729500
ORCL,27-Jan-2016,35.03,35.55,34.73,34.91,20567500
ORCL,28-Jan-2016,35.17,35.55,34.94,35.33,15472700
ORCL,29-Jan-2016,35.65,36.31,35.51,36.31,19059200
ORCL,01-Feb-2016,35.9,36.54,35.85,36.32,14143900
ORCL,02-Feb-2016,35.85,35.94,35.25,35.35,17404400
ORCL,03-Feb-2016,35.56,35.79,34.94,35.69,13855300
ORCL,04-Feb-2016,35.7,36.54,35.66,36.45,16925900
ORCL,05-Feb-2016,36.13,36.24,35.37,35.7,17312100
ORCL,08-Feb-2016,35.13,35.7,34.48,35.61,20118800
ORCL,09-Feb-2016,35.13,35.61,34.62,35.08,17819700
ORCL,10-Feb-2016,35.42,36.13,35.14,35.2,13368600
ORCL,11-Feb-2016,34.59,35.11,34.47,34.84,18889700
ORCL,12-Feb-2016,35.24,35.55,34.91,35.54,15837900
ORCL,15-Feb-2016,35.54,35.54,35.54,35.54,0
ORCL,16-Feb-2016,35.76,35.91,35.42,35.7,19676300
ORCL,17-Feb-2016,35.97,36.77,35.97,36.63,13186400
ORCL,18-Feb-2016,36.71,36.87,36.4,36.63,12866600
ORCL,19-Feb-2016,36.52,36.79,36.42,36.78,13203400
ORCL,22-Feb-2016,37.11,37.49,36.9,37.11,10109900
ORCL,23-Feb-2016,37.11,37.11,36.38,36.55,9417100
ORCL,24-Feb-2016,36.09,36.73,35.77,36.63,10978100
ORCL,25-Feb-2016,36.79,37.3,36.5,37.29,11566000
ORCL,26-Feb-2016,37.43,37.65,36.84,36.96,16548700
