date, open, high, low, close, vol
20160501 170000,1.145960,1.146290,1.145890,1.145910,0
20160501 170100,1.145910,1.146090,1.145910,1.146070,0
20160501 170200,1.146140,1.146140,1.146090,1.146110,0
20160501 170300,1.146160,1.146160,1.145980,1.145980,0
20160501 170400,1.145980,1.146330,1.145980,1.146070,0
20160501 170500,1.146080,1.146120,1.146010,1.146010,0
20160501 170600,1.146010,1.146010,1.145900,1.145910,0
20160501 170700,1.145910,1.145960,1.145910,1.145950,0
20160501 170800,1.145940,1.145980,1.145900,1.145900,0
20160501 170900,1.145920,1.145970,1.145880,1.145970,0
20160501 171000,1.145960,1.145960,1.145920,1.145940,0
20160501 171100,1.145940,1.146020,1.145940,1.146010,0
20160501 171200,1.146010,1.146030,1.146000,1.146030,0
20160501 171300,1.146040,1.146050,1.146040,1.146050,0
20160501 171400,1.146050,1.146050,1.146050,1.146050,0
20160501 171500,1.146050,1.146080,1.146050,1.146080,0
20160501 171600,1.146060,1.146100,1.146060,1.146090,0
20160501 171700,1.146060,1.146090,1.146060,1.146070,0
20160501 171800,1.146070,1.146090,1.146060,1.146080,0
20160501 171900,1.146050,1.146070,1.146050,1.146070,0
20160501 172000,1.146050,1.146080,1.146050,1.146080,0
20160501 172100,1.146060,1.146090,1.146060,1.146080,0
20160501 172200,1.146340,1.146340,1.146060,1.146060,0
20160501 172300,1.146060,1.146060,1.146060,1.146060,0
20160501 172500,1.146060,1.146060,1.146060,1.146060,0
20160501 172600,1.146060,1.146060,1.146060,1.146060,0
20160501 172700,1.146060,1.146060,1.146060,1.146060,0
20160501 172800,1.146030,1.146030,1.146030,1.146030,0
20160501 173000,1.146060,1.146070,1.146060,1.146070,0
20160501 173100,1.146060,1.146060,1.146060,1.146060,0
20160501 173200,1.146010,1.146010,1.146010,1.146010,0
20160501 173300,1.146010,1.146010,1.146010,1.146010,0
20160501 173400,1.146060,1.146070,1.146060,1.146070,0
20160501 173500,1.146060,1.146060,1.146060,1.146060,0
20160501 173600,1.146010,1.146010,1.146010,1.146010,0
20160501 173700,1.146010,1.146020,1.146010,1.146020,0
20160501 173800,1.146060,1.146060,1.146060,1.146060,0
20160501 173900,1.146070,1.146080,1.146070,1.146070,0
20160501 174000,1.146080,1.146080,1.146070,1.146070,0
20160501 174100,1.146080,1.146100,1.146080,1.146100,0
20160501 174200,1.146140,1.146240,1.146140,1.146220,0
20160501 174300,1.146230,1.146230,1.146100,1.146110,0
20160501 174400,1.146130,1.146160,1.146040,1.146110,0
20160501 174500,1.146100,1.146130,1.146090,1.146120,0
20160501 174600,1.146080,1.146130,1.146080,1.146130,0
20160501 174700,1.146100,1.146110,1.146090,1.146110,0
20160501 174800,1.146110,1.146110,1.146100,1.146110,0
20160501 174900,1.146100,1.146110,1.146100,1.146110,0
20160501 175000,1.146120,1.146130,1.146110,1.146110,0
20160501 175100,1.146110,1.146110,1.146000,1.146000,0
20160501 175200,1.146090,1.146310,1.146090,1.146310,0
20160501 175300,1.146310,1.146310,1.146270,1.146280,0
20160501 175400,1.146280,1.146370,1.146280,1.146300,0
20160501 175500,1.146300,1.146300,1.146210,1.146210,0
20160501 175600,1.146280,1.146280,1.146280,1.146280,0
